Name,LinkedIn Profile,Tags
Amir Satvat,https://www.linkedin.com/in/amirsatvat,"Community Support, Job Hunting"
Willem Delventhal,https://www.linkedin.com/in/ifyouwillem,"Business, Career Advise, Community Support, Game Design"
Tim Wood,https://www.linkedin.com/in/timwood4134,"Career Advise, Hiring, Job Hunting"
Arin Goldsmith,https://www.linkedin.com/in/arin-goldsmith,"Career Advise, Community Support, Job Hunting"
Pebbles Klein,https://www.linkedin.com/in/pebbleslozano,"Community Support, Marketing"
Christina-Marie Drake,https://www.linkedin.com/in/christinasaidso,"Career Advise, Hiring, Job Hunting"
Sara Machado,https://www.linkedin.com/in/scmachadouk/,"Career Advise, Hiring, Job Hunting"
Justin Williams,https://www.linkedin.com/in/justinalanwilliams/,"Career Advise, Hiring, Job Hunting"
Chris Tran,https://www.linkedin.com/in/chrisltran/,"Career Advise, Community Support"
Marie Ablaza,https://www.linkedin.com/in/mariebenigno/,"Career Advise, Community Support, Hiring, Job Hunting"
Aïda Figuerola,https://www.linkedin.com/in/afiguerola/,"Career Advise, Community Support"
Sergei Vasiuk,https://www.linkedin.com/in/sergeivasjuk/,"Business, Career Advise"
Jasmine Coppin,https://www.linkedin.com/in/jasminehope/,"Animation, Art, Career Advise, Hiring, Job Hunting"
Jen Donahoe,https://www.linkedin.com/in/jenniferdonahoe,"Business, Marketing"
Alex Gombos,https://www.linkedin.com/in/alexgombos/,"Hiring, Job Hunting"
Ben Kvalo,https://www.linkedin.com/in/benkvalo/,"Business, Community Support, Hiring"
Jordan Mazer,https://www.linkedin.com/in/jordanmazer/,"Business, Career Advise, Community Support, Job Hunting"
Jon Wolheim,https://www.linkedin.com/in/jonwolheim/,"Career Advise, Community Support, Engineering & Programming"
Pauliina Tornqvist,https://www.linkedin.com/in/pauliinatornqvist/,"Career Advise, Community Support, Production"
Sarah Bond,https://www.linkedin.com/in/sarahrbond/,Community Support
Matt Barney,https://www.linkedin.com/in/the-matt-barney/,"Career Advise, Hiring, Job Hunting"
Kelly Bender,https://www.linkedin.com/in/kellybender17/,"Career Advise, Narrative Design"
