Name,Tags,URL
Brackeys,"Game Design, How To, Programming, Tips & Tricks, Tutorials, Unity",https://www.youtube.com/@Brackeys
Game Maker's Toolkit,"Game Design, How To, Narrative Design, Other engines, Production, Programming, Tips & Tricks, Tutorials",https://www.youtube.com/@GMTK
Visual Novel Design,"How To, Narrative Design, Other engines, Tips & Tricks, Tutorials",https://www.youtube.com/@vimi
Game Dev Guide,"Animation, How To, Programming, Tutorials, Unity",https://www.youtube.com/@GameDevGuide
quill18creates,"Game Design, Godot, How To, Programming, Tutorials, Unity",https://www.youtube.com/@quill18creates
One Wheel Studio,"Art, Game Design, Programming, Tips & Tricks, Tutorials, Unity",https://www.youtube.com/@OneWheelStudio
Iain McManus,"Programming, Tutorials, Unity",https://www.youtube.com/@IainTheIndie
Indie Game Academy,"Career Advice, Courses, Podcast",https://www.youtube.com/@indiegameacademy
Code Monkey,"How To, Programming, Tips & Tricks, Tutorials, Unity",https://www.youtube.com/@CodeMonkeyUnity
Marshall McGee,Audio & Music,https://www.youtube.com/@MarshallMcGee
