Name,Tags
Indie Game Academy,"Career Guidance, Community Support, Gamedev Courses, Looking for Group, Podcast"
Latinx in Gaming,"Community Support, IRL Meetings, Job Hunting, Looking for Group, Regional Community"
Remote Game Jobs,"Career Guidance, Job Hunting, Looking for Group"
Work With Indies,"Career Guidance, Job Hunting, Project Sharing"
IGDA,"Career Guidance, Community Support, IRL Meetings, Regional Community"
r/Gamedev,"Career Guidance, Community Support, Job Hunting, Looking for Group, Project Sharing"
GameDevDrinkUp,"Community Support, IRL Meetings"
Game Dev Network,"Career Guidance, Community Support, Job Hunting, Looking for Group, Project Sharing"
Game Dev League,"Career Guidance, Community Support, Job Hunting, Looking for Group, Project Sharing"
Hitmarker,"Career Guidance, Community Support, Job Hunting, Project Sharing"
Arin’s Pro Gamer Club,"Career Guidance, Community Support"
Funsmith Club,"Career Guidance, Community Support, Project Sharing"
